,도로명전체주소,사업장명
1455447,"경기도 광명시 광명로 837 (광명동,,1층에이 103호)",내고향삼겹살흑돈
1455501,"경기도 광명시 시청로 31 (철산동,,1층)",떳다양꼬치
1455657,경기도 광명시 오리로854번길 8 (철산동),라이라이
1455668,경기도 광명시 기아로 18 (소하동),오투닭갈비
1455669,"경기도 광명시 충현로 2 (소하동,1층)",오땅비어(광명소하)
1455670,경기도 광명시 밤일로 63 (하안동),홍매화곤드레밥
1455784,"경기도 광명시 철산로 24 (철산동,,다인빌딩1층)",주식회사 광명철산역1호 맛찬들왕소금구이
1455817,"경기도 광명시 오리로984번안길 2-1, 1층 (광명동)",황제호프
1455818,"경기도 광명시 소하로109번길 15, 2층 203,204,205호 (소하동, 소하토피아)",채수어
1455819,"경기도 광명시 광이로13번길 9-18 (광명동,1층)",뚱보냉면
1455836,경기도 광명시 광화로 14-9 (광명동),원조순대국
1455837,경기도 광명시 하안로 258 (하안동),"민속칼국수,수제비전문"
1455838,경기도 광명시 하안로287번길 22 (하안동),블루오션
1455839,경기도 광명시 오리로963번길 3-1 (광명동),소도
1455842,경기도 광명시 오리로 897 (철산동),김밥나라
1455962,"경기도 광명시 오리로856번길 7 (철산동,,106호)",철산육회집
1455963,"경기도 광명시 철산로 27 (철산동,,명동빌딩1층10호)",국수나무
1455999,"경기도 광명시 도덕공원로 63, 1층 (철산동)",피자나라치킨공주
1456028,"경기도 광명시 오리로366번길 3 (소하동,1층)",포인트
1456029,"경기도 광명시 시청로 33 (철산동,1층)","굽네치킨철산1,2동점"
1456030,"경기도 광명시 광화로 6 (광명동,1층)",일출식당
1456031,"경기도 광명시 하안로287번길 22, 신영빌딩 1층 5호 (하안동)",달그락
1456051,경기도 광명시 오리로 366 (소하동),이화식당
1456140,"경기도 광명시 오리로 906-5 (철산동,1층)",셀프수산
1456143,경기도 광명시 모세로 40 (철산동),처갓집양념치킨(철산점)
1456223,"경기도 광명시 도덕로 43-1 (광명동,1층)",민카페
1456398,경기도 광명시 도덕로 56 (광명동),삼호분식
1456425,경기도 광명시 오리로854번길 22 (철산동),철산민물장어
1456426,경기도 광명시 오리로406번길 19 (소하동),먹싸갈비(광명소하점)
1456498,"경기도 광명시 광명로888번길 11, 1층 (광명동)",비어나라
1456529,경기도 광명시 하안로287번길 22 (하안동),옛골주막
